Key.space 	 at 13:57:21
'ä' 	 at 13:57:21
'ó' 	 at 13:57:21
'ï' 	 at 13:57:22
'ô' 	 at 13:57:22
'ä' 	 at 13:57:22
Key.space 	 at 13:57:23
'ô' 	 at 13:57:23
'ò' 	 at 13:57:23
'â' 	 at 13:57:24
Key.space 	 at 13:57:24
'å' 	 at 13:57:24
'ð' 	 at 13:57:24
'ø' 	 at 13:57:25
'û' 	 at 13:57:25
Key.space 	 at 13:57:25
'ø' 	 at 13:57:25
'û' 	 at 13:57:25
Key.space 	 at 13:57:25
'ä' 	 at 13:57:26
'ó' 	 at 13:57:26
'ð' 	 at 13:57:26
'ô' 	 at 13:57:26
'ä' 	 at 13:57:27
Key.space 	 at 13:57:27
'ä' 	 at 13:57:28
'ó' 	 at 13:57:29
'ô' 	 at 13:57:29
'ê' 	 at 13:57:29
'ò' 	 at 13:57:29
'ø' 	 at 13:57:29
'ò' 	 at 13:57:30
'ï' 	 at 13:57:30
Key.space 	 at 13:57:30
'å' 	 at 13:57:30
'ô' 	 at 13:57:30
'û' 	 at 13:57:30
'ë' 	 at 13:57:31
Key.enter 	 at 13:57:31
Key.shift 	 at 13:58:22
'Ø' 	 at 13:58:22
Key.space 	 at 13:58:22
'ö' 	 at 13:58:22
'ô' 	 at 13:58:22
'ò' 	 at 13:58:23
'å' 	 at 13:58:23
Key.space 	 at 13:58:23
'ñ' 	 at 13:58:24
'å' 	 at 13:58:24
'ê' 	 at 13:58:25
'ä' 	 at 13:58:25
Key.space 	 at 13:58:25
'û' 	 at 13:58:26
'ð' 	 at 13:58:26
'ø' 	 at 13:58:27
'à' 	 at 13:58:27
'å' 	 at 13:58:27
Key.space 	 at 13:58:27
Key.ctrl_l 	 at 13:58:57
'\x01' 	 at 13:58:57
'ó' 	 at 13:58:58
'÷' 	 at 13:58:58
'ç' 	 at 13:58:58
'ä' 	 at 13:58:59
'ô' 	 at 13:58:59
'ø' 	 at 13:58:59
Key.space 	 at 13:59:00
'ü' 	 at 13:59:00
'ó' 	 at 13:59:00
Key.space 	 at 13:59:00
Key.ctrl_l 	 at 13:59:01
Key.left 	 at 13:59:01
Key.left 	 at 13:59:02
'ò' 	 at 13:59:02
Key.ctrl_l 	 at 13:59:03
Key.right 	 at 13:59:03
Key.right 	 at 13:59:03
Key.space 	 at 13:59:03
'ö' 	 at 13:59:04
'ð' 	 at 13:59:04
'ô' 	 at 13:59:04
'å' 	 at 13:59:04
Key.space 	 at 13:59:04
'ø' 	 at 13:59:05
'û' 	 at 13:59:05
Key.space 	 at 13:59:05
'ð' 	 at 13:59:05
'ô' 	 at 13:59:05
'ç' 	 at 13:59:06
'ç' 	 at 13:59:06
'ó' 	 at 13:59:06
'ò' 	 at 13:59:06
'ø' 	 at 13:59:06
'ò' 	 at 13:59:07
'ï' 	 at 13:59:07
Key.enter 	 at 13:59:08
Key.ctrl_l 	 at 14:00:03
'\x02' 	 at 14:00:03
Key.ctrl_l 	 at 14:01:08
'\x03' 	 at 14:01:08
Key.enter 	 at 14:01:10
Key.enter 	 at 14:01:10
Key.up 	 at 14:01:11
Key.ctrl_l 	 at 14:01:11
'\x16' 	 at 14:01:11
Key.ctrl_l 	 at 14:02:10
'\x1a' 	 at 14:02:10
Key.esc 	 at 14:02:52
Key.ctrl_l 	 at 14:04:38
Key.ctrl_l 	 at 14:04:38
Key.ctrl_l 	 at 14:04:38
Key.ctrl_l 	 at 14:04:38
Key.ctrl_l 	 at 14:04:38
Key.ctrl_l 	 at 14:04:38
Key.ctrl_l 	 at 14:04:38
Key.ctrl_l 	 at 14:04:38
Key.ctrl_l 	 at 14:04:38
Key.ctrl_l 	 at 14:04:38
Key.ctrl_l 	 at 14:04:38
Key.ctrl_l 	 at 14:04:38
Key.ctrl_l 	 at 14:04:38
Key.ctrl_l 	 at 14:04:38
Key.ctrl_l 	 at 14:04:38
Key.ctrl_l 	 at 14:04:38
Key.ctrl_l 	 at 14:04:39
Key.ctrl_l 	 at 14:04:39
Key.ctrl_l 	 at 14:04:39
Key.ctrl_l 	 at 14:04:39
Key.ctrl_l 	 at 14:04:39
Key.ctrl_l 	 at 14:04:39
'\x03' 	 at 14:04:39
'\x03' 	 at 14:04:39
'ñ' 	 at 14:04:39
Key.ctrl_l 	 at 14:04:40
'\x03' 	 at 14:04:40
Key.shift 	 at 14:04:40
'Ñ' 	 at 14:04:41
'Ñ' 	 at 14:04:42
'Ñ' 	 at 14:04:42
'Ñ' 	 at 14:04:42
'Ñ' 	 at 14:04:42
Key.ctrl_l 	 at 14:04:43
'\x1a' 	 at 14:04:43
Key.shift 	 at 14:04:44
'Ñ' 	 at 14:04:44
'Ñ' 	 at 14:04:44
'Ñ' 	 at 14:04:45
'Ñ' 	 at 14:04:45
'Ô' 	 at 14:04:46
'Û' 	 at 14:04:46
'Â' 	 at 14:04:46
